更新日期,股價代號,公司名稱,產業別,現價,季乖離,年乖離,月營收MoM(%),月營收YoY(%),今年以來累積營收YoY(%),近5日法人買賣超(張數)
2026-03-15,2408,南亞科,半導體業,238.0,1.1,116.99,1.94,586.71,546.54,-50783
2026-03-15,5386,青雲,電腦及週邊設備業,314.0,149.97,291.78,17.49,1025.37,409.46,-380
2026-03-15,2451,創見,半導體業,236.0,9.18,70.63,-33.11,246.28,308.36,2115
2026-03-15,5289,宜鼎,電腦及週邊設備業,1015.0,48.2,158.95,25.43,403.21,293.47,1519
2026-03-15,6727,亞泰金屬,電子零組件業,261.0,39.24,95.9,-14.44,482.36,223.79,855
2026-03-15,3231,緯創,電子工業,134.0,-3.52,7.6,24.75,177.37,156.9,7731
2026-03-15,8271,宇瞻,半導體業,173.5,51.13,123.98,-10.18,193.82,153.46,10777
2026-03-15,8299,群聯,半導體業,1800.0,6.79,100.01,16.71,169.43,147.68,-921
2026-03-15,3260,威剛,半導體業,359.5,29.5,128.79,-14.84,114.3,136.45,11491
2026-03-15,6669,緯穎,電子工業,4070.0,0.17,27.92,13.71,103.44,122.53,-522
2026-03-15,3081,聯亞,通信網路業,1485.0,66.95,195.31,7.21,91.44,118.55,74
2026-03-15,6139,亞翔,其他電子業,524.0,-6.18,37.53,-17.06,81.4,113.33,-760
2026-03-15,3017,奇鋐,電子工業,1865.0,23.07,78.45,-17.56,74.74,109.57,446
2026-03-15,5439,高技,電子零組件業,275.0,-9.8,4.75,1.75,62.65,96.39,-383
2026-03-15,2374,佳能,光電業,70.6,-10.69,7.16,-38.16,32.22,84.29,530
2026-03-15,8210,勤誠,電子工業,894.0,-4.22,40.91,-26.41,49.62,81.35,-2871
2026-03-15,3443,創意,半導體業,2285.0,-3.73,44.53,-20.88,60.15,80.5,-152
2026-03-15,2345,智邦,通信網路業,1420.0,14.52,51.66,9.55,82.7,73.68,-2511
2026-03-15,6584,南俊國際,電子零組件業,388.5,13.07,60.6,-16.78,47.92,72.91,-847
2026-03-15,8112,至上,電子通路業,87.0,15.43,53.55,21.8,136.81,72.87,56420
2026-03-15,2360,致茂,其他電子業,1530.0,51.4,147.38,-4.16,86.04,71.82,886
2026-03-15,2382,廣達,電子工業,289.0,2.86,7.15,-6.61,43.18,66.59,-1013
2026-03-15,6805,富世達,電子工業,1755.0,15.02,63.89,-16.03,51.13,65.16,-1359
2026-03-15,3028,增你強,電子工業,50.6,15.97,44.15,-39.98,44.51,61.04,-2809
2026-03-15,3290,東浦,電子零組件業,45.65,0.3,12.12,-22.41,68.52,60.72,-91
2026-03-15,2467,志聖,電子零組件業,363.5,33.47,91.03,-62.33,3.25,59.06,426
2026-03-15,3036,文曄,電子工業,235.5,44.89,75.32,-46.65,28.98,56.65,9282
2026-03-15,6215,和椿,其他電子業,111.5,1.43,2.39,-19.89,51.23,56.33,945
2026-03-15,2368,金像電,電子工業,935.0,32.96,111.48,-1.23,53.91,56.19,5402
2026-03-15,6274,台燿,電子零組件業,497.5,2.22,56.5,-22.43,27.28,53.78,-8701
2026-03-15,3305,昇貿,其他電子業,102.0,-7.62,15.13,-2.2,62.39,51.67,574
2026-03-15,6134,萬旭,電子零組件業,30.3,2.76,26.27,-31.77,47.63,49.83,637
2026-03-15,8021,尖點,其他電子業,243.5,19.21,137.58,-8.8,42.47,48.42,841
2026-03-15,6209,今國光,光電業,51.5,-16.06,27.0,-37.9,11.49,47.04,0
