股價代號,現價,20日均量(張),240日報酬(%),20日報酬(%),公司名稱,產業別,近20日法人買賣超(張)
3481,29.7,780508,95.52,29.13,群創,光電業,471418
1303,83.5,109349,150.76,7.6,南亞,塑膠工業,84466
1815,107.5,66085,238.05,10.82,富喬,電子零組件業,53022
6213,137.5,16741,96.61,16.53,聯茂,電子工業,33197
3036,235.5,13479,132.62,47.65,文曄,電子工業,28076
3576,24.0,56060,142.67,77.78,聯合再生,光電業,22206
3711,341.5,28119,124.3,12.89,日月光投控,半導體業,21947
1802,57.7,101541,232.56,8.66,台玻,玻璃陶瓷,18686
6187,684.0,3495,125.86,75.84,萬潤,其他電子類,17954
8039,128.0,21171,177.43,43.98,台虹,電子工業,17381
8271,173.5,8455,245.21,62.91,宇瞻,半導體業,14635
8150,60.5,30945,105.49,7.46,南茂,半導體業,12094
6290,218.5,10846,159.82,28.15,良維,電子零組件業,11940
6217,136.0,8848,330.38,121.5,中探針,電子零組件業,11343
3105,313.0,20147,177.72,24.45,穩懋,半導體業,9508
1727,60.8,6367,112.18,39.45,中華化,化學工業,9499
3167,390.5,5420,352.03,83.76,大量,電機機械,8349
2368,935.0,9674,342.73,17.31,金像電,電子工業,7528
3030,277.5,6957,142.37,48.4,德律,其他電子業,7461
2467,363.5,3927,120.83,31.23,志聖,電子零組件業,7059
1717,64.7,32588,127.75,8.19,長興,化學工業,7053
2485,62.0,88102,347.65,37.02,兆赫,通信網路業,6448
3017,1865.0,5937,252.97,11.34,奇鋐,電子工業,6135
4722,185.5,3132,198.14,16.3,國精化,化學工業,6055
6531,531.0,3835,87.97,24.5,愛普*,電子工業,5898
4989,71.0,28002,290.11,37.07,榮科,電子零組件業,5872
3665,1590.0,4937,190.23,18.66,貿聯-KY,其他電子業,5246
2481,96.9,18725,91.33,9.49,強茂,半導體業,5083
4749,925.0,2622,72.66,8.31,新應材,半導體業,5026
3543,51.5,3517,149.39,16.65,州巧,光電業,4957
5234,394.5,1913,114.44,12.88,達興材料,光電業,4527
1560,460.0,2838,86.04,13.16,中砂,電機機械,4209
3163,888.0,1462,404.59,81.22,波若威,通信網路業,4089
2404,1010.0,3079,146.04,8.25,漢唐,其他電子業,3819
3715,166.0,29860,219.2,5.4,定穎投控,電子工業,3369
5351,63.8,15815,88.76,11.34,鈺創,半導體業,3327
4949,68.4,2954,134.69,46.0,有成精密,電子工業,3272
2345,1420.0,5342,123.38,19.83,智邦,通信網路業,3191
4973,67.2,4095,105.74,47.85,廣穎,半導體業,2933
4979,401.5,16128,134.03,22.41,華星光,通信網路業,2741
5536,679.0,1476,93.26,6.43,聖暉*,其他電子類,2508
3363,624.0,3464,137.26,41.34,上詮,通信網路業,2348
4577,95.5,1797,275.98,66.67,達航科技,其他電子類,2213
3131,1965.0,830,82.94,21.67,弘塑,其他電子類,2002
6584,388.5,1972,173.32,14.43,南俊國際,電子零組件業,1927
6715,305.0,1309,125.58,103.33,嘉基,電子工業,1878
2455,237.5,15585,88.41,30.85,全新,通信網路業,1751
8021,243.5,11957,695.89,14.32,尖點,其他電子業,1457
3653,3245.0,1967,188.72,4.34,健策,電子工業,1415
4991,331.5,4210,205.53,24.86,環宇-KY,半導體業,1397
4764,162.0,3987,253.33,37.87,雙鍵,化學工業,1283
6830,349.5,4150,150.9,68.84,汎銓,其他電子業,1117
5291,53.1,2241,90.32,32.75,邑昇,電子零組件業,1081
6903,324.0,1649,171.7,31.71,巨漢,其他電子類,1039
2406,33.95,44356,140.78,14.31,國碩,光電業,983
6426,142.0,1700,73.26,10.94,統新,通信網路業,970
6861,172.5,1549,177.71,151.09,睿生光電,化學生技醫療,769
6291,340.5,1843,262.81,43.97,沛亨,半導體業,751
6727,261.0,1726,301.69,44.6,亞泰金屬,電子零組件業,611
6223,3550.0,1535,411.96,29.09,旺矽,半導體業,583
6669,4070.0,1747,115.51,10.6,緯穎,電子工業,570
6805,1755.0,2268,146.65,15.08,富世達,電子工業,489
5386,314.0,2834,393.7,173.04,青雲,電腦及週邊設備業,471
4542,175.0,2150,88.58,44.03,科嶠,電子零組件業,380
6640,969.0,597,111.74,23.28,均華,半導體業,317
2059,3365.0,737,76.74,9.43,川湖,電子工業,292
4768,461.0,1579,231.54,9.37,晶呈科技,化學工業,287
3054,72.2,562,226.7,130.67,立萬利,電子工業,120
